,Tweet_ID,Date,Tweet_Text,likes_count,retweet_counts,,Count
643,1.52964E+18,2022-05-26 01:59:59+00:00,"@stevenmarkryan If Twitter was not truthful here, what else is not true? This is very concerning news.",12034,1347,,1
701,1.52851E+18,2022-05-22 22:53:43+00:00,"@PPathole Haha I don’t even have a burner twitter account! I do have a cheesy secret Instagram account, so I can click on links that friends send me.",73615,2951,,1
713,1.52802E+18,2022-05-21 14:31:29+00:00,"@WholeMarsBlog I’m worried that Twitter has a disincentive to reduce spam, as it reduces perceived daily users",34639,2645,,1
718,1.52791E+18,2022-05-21 07:14:19+00:00,"@JaneidyEve @TheCryptoDaddi @Block0nex @Jim_Jordan True, owning Twitter probably won’t increase my life expectancy haha",11014,896,,1
725,1.52778E+18,2022-05-20 22:46:41+00:00,@d2dev_ @Andst7 @Twitter They will,7963,440,,1
738,1.52774E+18,2022-05-20 20:06:18+00:00,@bpcostello @truth_tesla @veespike @HillaryClinton @Twitter !!,5120,554,,1
739,1.52774E+18,2022-05-20 20:03:02+00:00,"@truth_tesla @veespike @HillaryClinton @Twitter Whether other senior campaign managers were aware or not is a separate question.

What is *not* in question is that Sussmann charged the Clinton Campaign for his Russia hoax meeting with the FBI.

Source document:
https://t.co/61C8L9isIU",6047,1660,,1
743,1.52773E+18,2022-05-20 19:25:19+00:00,"@truth_tesla @veespike @HillaryClinton @Twitter ??

Sussmann himself admitted billing Clinton Campaign to pay for him to present Russia hoax to FBI! This is not even questioned by the defense.

Btw, I donated to &amp; voted for Hillary, so am doubly pissed off about those funds being used for lying.

https://t.co/PtFgYzpXQN",15311,4163,,1
744,1.52772E+18,2022-05-20 18:52:57+00:00,@WhatsupFranks @veespike @HillaryClinton @Twitter Doesn’t exactly scream “trustworthy”,5698,438,,1
745,1.52772E+18,2022-05-20 18:45:12+00:00,"@veespike @HillaryClinton @Twitter .@paraga and @vijaya, what say you?",16350,2642,,1
746,1.52772E+18,2022-05-20 18:39:31+00:00,@veespike @HillaryClinton @Twitter You are absolutely correct. That tweet is a Clinton campaign hoax for which their campaign lawyer is undergoing a criminal trial. https://t.co/avtjEdthmA,38747,10274,,1
755,1.52763E+18,2022-05-20 12:37:56+00:00,"@catturd2 They began brewing attacks of all kinds as soon as the Twitter acquisition was announced.

In my 30 year career, including the entire MeToo era, there’s nothing to report, but, as soon as I say I intend to restore free speech to Twitter &amp; vote Republican, suddenly there is …",108553,20650,,1
758,1.52752E+18,2022-05-20 05:19:22+00:00,"@teslaownersSV @JohnnaCrider1 @TaraBull808 No, it was clear that their only goal was a hit price to interfere with the Twitter acquisition. The story was written before they even talked to me.",14502,1339,,1
766,1.52742E+18,2022-05-19 22:36:49+00:00,"To be clear, I’m spending &lt;5% (but actually) of my time on the Twitter acquisition. It ain’t rocket science!

Yesterday was Giga Texas, today is Starbase. Tesla is on my mind 24/7.

So may seem like below, but not true. https://t.co/CXfWiLD2f8",256397,18530,,1
