startDate,likesCount,retweetCount,sentimentScore,tweetID,percentPrice_0,percentPrice_1,percentPrice_2,percentPrice_3,percentPrice_4,Total_Engagement,Absolute_percentPrice_1,Absolute_percentPrice_2,Absolute_percentPrice_3
2015-05-21,599,208,0.6369,1,-0.21810796074154948,-0.463473282442739,-0.7360959651036072,0.40894765539803885,,807,0.463473282442739,0.7360959651036072,0.40894765539803885
2016-04-01,3252,367,0.4404,1,6.946182728410509,6.695863579474339,8.010012515644563,6.25782227784731,4.192740926157685,3619,6.695863579474339,8.010012515644563,6.25782227784731
2016-07-01,328,41,0.6696,1,-0.81019671237287,-0.4629629361711165,0.5208333031925164,4.62962357467456,,369,0.4629629361711165,0.5208333031925164,4.62962357467456
2016-10-03,5254,1598,0.0,1,-2.0000000000000018,3.62500416666666,-17.208329166666672,-17.29166666666666,-26.833337499999992,6852,3.62500416666666,17.208329166666672,17.29166666666666
2016-10-04,225,16,0.296,1,5.739800170068023,-15.518703231292521,-15.603741496598634,-25.340140306122443,-23.46938775510204,241,15.518703231292521,15.603741496598634,25.340140306122443
2017-02-03,7391,385,-0.6105,2,1.817143565182076,3.6910787228234745,6.3032250821564455,-6.8143153427418905,-11.52754619377932,7776,3.6910787228234745,6.3032250821564455,6.8143153427418905
2017-08-04,884,66,0.1695,1,0.6752547160678407,-0.8594290448478278,-0.9208225340194923,-3.3149230623128885,-2.2713381048902344,950,0.8594290448478278,0.9208225340194923,3.3149230623128885
2017-12-20,169609,31496,0.6369,1,-0.5952460081251609,-2.9365157564874718,-3.73016255039037,-3.8492101647138814,,201105,2.9365157564874718,3.73016255039037,3.8492101647138814
2018-05-03,536,25,0.0,1,1.2063938702314916,2.151940006521019,3.8474078904466893,5.836318878382789,7.173130094554933,561,2.151940006521019,3.8474078904466893,5.836318878382789
2018-05-22,3783,114,0.0772,1,1.7041904533113155,2.008517893836967,2.343274426558913,3.5909919783629944,,3897,2.008517893836967,2.343274426558913,3.5909919783629944
2018-05-23,1446,106,0.6136,1,0.29922802508846197,0.6283752620212616,1.8551856286765696,2.812696158749014,,1552,0.6283752620212616,1.8551856286765696,2.812696158749014
2018-05-25,30121,2069,0.5106,1,1.2191495325854929,2.170680875091252,3.181682926503631,8.980080018433542,,32190,2.170680875091252,3.181682926503631,8.980080018433542
2018-06-01,3609,200,0.0,1,3.3560680296825067,8.59480717081543,9.413358285764891,8.321961346686965,12.442010235088127,3809,8.59480717081543,9.413358285764891,8.321961346686965
2018-06-04,1685,53,0.9001,1,5.068632389951626,5.860604385939692,4.80464612448136,8.790913178698183,9.345292783915184,1738,5.860604385939692,4.80464612448136,8.790913178698183
2018-06-08,1347,133,-0.3887,1,0.5095826379418167,5.532645123335221,6.940065686485449,13.467602850463548,11.138073553459673,1480,5.532645123335221,6.940065686485449,13.467602850463548
