startDate,likesCount,retweetCount,sentimentScore,tweetID,percentPrice_0,percentPrice_1,percentPrice_2,percentPrice_3,percentPrice_4
2015-05-21,599.0,208.0,0.6369,1,-0.21810796074154948,-0.463473282442739,-0.7360959651036072,0.40894765539803885,
2016-04-01,3252.0,367.0,0.4404,1,6.946182728410509,6.695863579474339,8.010012515644563,6.25782227784731,4.192740926157685
2016-07-01,328.0,41.0,0.6696,1,-0.81019671237287,-0.4629629361711165,0.5208333031925164,4.62962357467456,
2016-10-03,5254.0,1598.0,0.0,1,-2.0000000000000018,3.62500416666666,-17.208329166666672,-17.29166666666666,-26.833337499999992
2016-10-04,225.0,16.0,0.296,1,5.739800170068023,-15.518703231292521,-15.603741496598634,-25.340140306122443,-23.46938775510204
2017-02-03,3695.5,192.5,-0.30525,2,1.817143565182076,3.6910787228234745,6.3032250821564455,-6.8143153427418905,-11.52754619377932
2017-08-04,884.0,66.0,0.1695,1,0.6752547160678407,-0.8594290448478278,-0.9208225340194923,-3.3149230623128885,-2.2713381048902344
2017-12-20,169609.0,31496.0,0.6369,1,-0.5952460081251609,-2.9365157564874718,-3.73016255039037,-3.8492101647138814,
2018-05-03,536.0,25.0,0.0,1,1.2063938702314916,2.151940006521019,3.8474078904466893,5.836318878382789,7.173130094554933
2018-05-22,3783.0,114.0,0.0772,1,1.7041904533113155,2.008517893836967,2.343274426558913,3.5909919783629944,
2018-05-23,1446.0,106.0,0.6136,1,0.29922802508846197,0.6283752620212616,1.8551856286765696,2.812696158749014,
2018-05-25,30121.0,2069.0,0.5106,1,1.2191495325854929,2.170680875091252,3.181682926503631,8.980080018433542,
2018-06-01,3609.0,200.0,0.0,1,3.3560680296825067,8.59480717081543,9.413358285764891,8.321961346686965,12.442010235088127
2018-06-04,1685.0,53.0,0.9001,1,5.068632389951626,5.860604385939692,4.80464612448136,8.790913178698183,9.345292783915184
2018-06-08,1347.0,133.0,-0.3887,1,0.5095826379418167,5.532645123335221,6.940065686485449,13.467602850463548,11.138073553459673
2018-07-10,3038.5,112.5,-0.30595,2,0.2742834285714285,3.451424000000007,1.691433142857136,1.1657097142857211,2.1942834285714365
2018-07-25,20960.0,2570.0,0.2023,1,-2.894622277371733,-22.840347742190243,-29.0366388729842,-27.928538490987382,-27.838083947578383
2018-08-27,2718.0,120.0,0.3753,2,-1.114508250613231,-1.5046002091000439,-0.6965728809298657,-1.9782641955493043,
2018-10-19,294678.0,55691.5,0.0386,2,1.2140131807145385,-0.20811654526534418,-4.474502254595901,10.301765522025672,12.244193548387093
2018-10-24,76197.0,6153.0,0.0,1,15.468401762222156,17.501814905525954,17.610740101280324,22.948437801436526,26.180097088594877
2018-10-25,36301.8,3277.4,0.08088,5,1.7610126339940995,1.855345970293909,6.477993914402316,9.27673299612368,8.867924807167448
2018-11-05,113840.0,4658.0,-0.7783,1,1.1757730746619532,2.851269841269823,0.4703115814226825,0.1763727219282693,-5.908295120517342
2019-02-11,7209.0,429.0,0.6312,1,0.5292722461131297,2.9440985775719417,2.4148164075421743,3.3079722130334104,
2019-03-29,5829.0,340.0,0.0,1,1.7031568825073946,2.64598227962341,4.562043656872151,4.683689030301427,5.596106885763183
2019-04-10,1954.0,41.0,0.0,1,-0.48920287769784077,-1.093528057553957,-0.11511079136689675,-0.8345352517985514,-0.776978417266196
2019-04-12,33219.0,7162.0,-0.1531,1,0.989234826570706,0.2618562776216648,0.32004947105176496,0.08729415441647428,
2019-04-17,368095.0,60904.0,0.128,1,-0.23201276102087076,-0.26102378190253417,15.342227378190273,13.950118909512762,
2019-05-07,2629.0,100.0,0.0,1,-0.10356551278004854,0.44019162196248807,-0.4401812646344182,-5.256341410055439,-4.375968523458533
2019-08-14,1433.0,37.0,-0.3595,1,-1.3776186284074408,-0.17220171354481184,2.583023243147687,4.034437685882515,5.2890452502314735
2019-12-06,3133.0,106.0,0.6588,1,0.06624047478501598,-1.1593275535168048,1.1924411661993684,0.3643524225123442,0.6624643702396724
2019-12-27,861.0,65.0,0.4647,1,-1.5975422917831832,-1.5360983574838205,-0.7680491787419103,-3.164359544219956,
2020-01-31,183240.0,27076.0,-0.36115,2,1.8165024630541977,4.556647167487705,2.8017210591133197,18.257389162561577,14.00861761083744
2020-02-27,4186.0,301.0,0.2023,1,0.5755922796481152,8.512578522422197,5.816425678062739,9.05786786173085,5.937604116183224
2020-02-28,332825.0,51727.0,0.7399,1,7.891563015314366,5.210840204492763,8.43373167368278,5.331325140622746,0.7831264824359585
2020-03-10,422498.0,59390.0,0.4019,1,-8.772958065492332,-21.94695360107976,-14.631302400719836,-29.932963277966678,-28.65054128095187
2020-04-03,422498.0,59390.0,0.0,1,7.968817669987007,10.913819835426594,20.658297964486792,20.26851450844521,
2020-04-15,15107.0,998.0,-0.2023,1,-3.489643765903314,-2.9443802253725964,-1.817520901490367,-6.397673573246097,3.3805925118138758
2020-04-24,2237.0,95.0,0.3612,1,4.384133611691029,0.17397703549061147,8.176757132915801,-0.2087682672233776,-3.1315240083507256
2020-05-29,524953.0,28184.0,0.0,1,2.970616821782907,4.165318184220806,12.625127950440032,8.879567609931154,12.592832179297128
2020-07-02,203072.0,19452.0,-0.4003,1,4.761901368257179,6.867511925250662,14.706831399195607,15.711045814349035,
2020-07-17,1791.0,54.0,0.0,1,3.4906449737323384,3.351010797235117,3.155537471222077,7.344311439700883,4.831052643645547
2020-07-23,340656.0,34642.0,-0.43215000000000003,2,-2.3413059922296138,-4.1363190462101755,-4.7606608938777635,-3.3298622094136983,-4.474500636693557
